CANTON_ID,S_M_2010,S_M_2011,F_M_2010,F_M_2011,NO_M_2010,NO_M_2011,S_W_2010,S_W_2011,F_W_2010,F_W_2011,NO_W_2010,NO_W_2011
Canton Id,Swiss Man 2010,Swiss Man 2011,Foreign Man 2010,Foreign Man 2011,No Data Man 2010,No Data Man 2011,Swiss Woman 2010,Swiss Woman 2011,Foreign Woman 2010,Foreign Woman 2011,No Data Woman 2010,No Data Woman 2011
ZH,7275,7305,1016,961,698,149,6899,6743,899,778,663,313
BE,3023,3560,122,150,68,85,2629,2850,120,137,63,68
LU,3375,3620,178,263,145,1,1901,2106,121,132,70,0
UR,0,0,0,0,0,0,0,0,0,0,0,0
SZ,80,65,9,5,1,1,11,6,0,0,0,0
OW,44,50,1,2,0,0,18,13,2,2,0,0
NW,172,158,0,4,0,0,41,22,0,4,0,0
GL,0,0,0,0,0,0,16,15,3,3,0,0
ZG,428,454,42,61,193,127,176,181,9,14,174,167
FR,344,325,370,395,0,0,216,232,443,522,0,0
SO,736,909,121,138,54,7,347,412,44,40,36,0
BS,311,559,105,169,409,17,286,364,68,79,370,8
BL,197,371,27,57,0,92,516,586,46,41,0,29
SH,119,122,19,29,0,0,59,62,12,14,0,0
AR,0,0,0,0,0,0,0,0,0,0,0,0
AI,0,0,0,0,0,0,0,0,0,0,0,0
SG,2265,2223,551,354,54,156,1338,1250,273,111,1,133
GR,585,582,71,48,0,0,661,610,105,84,0,0
AG,1133,1227,130,125,0,0,818,854,51,76,0,0
TG,137,163,17,25,0,0,238,246,24,26,0,0
TI,370,0,144,0,0,553,443,0,112,0,0,659
VD,1049,1506,507,1655,295,1,870,1239,521,2112,4,15
VS,161,166,599,784,0,1,183,170,678,812,1,0
NE,397,485,120,247,66,59,312,322,52,242,57,65
GE,193,353,68,133,0,0,273,382,94,130,2,0
JU,126,110,7,5,0,0,22,37,2,4,0,0
