BEZIRK_ID,KT_ID,DIST,T,M,W
District Id,Canton Id,District,Total,Man,Woman
301,3,Amt Entlebuch,18749,9476,9273
302,3,Amt Hochdorf,67818,33827,33991
303,3,Amt Luzern,176710,85962,90748
304,3,Amt Sursee,72373,36349,36024
305,3,Amt Willisau,50432,25616,24816
241,2,Arrondissement administratif Jura bernois,52251,25940,26311
1901,19,Bezirk Aarau,72852,35714,37138
101,1,Bezirk Affoltern,49446,24613,24833
1821,18,Bezirk Albula,8212,4200,4012
102,1,Bezirk Andelfingen,30038,15012,15026
2011,20,Bezirk Arbon,53327,26633,26694
1301,13,Bezirk Arlesheim,150386,72612,77774
1902,19,Bezirk Baden,134756,67309,67447
1903,19,Bezirk Bremgarten,71354,35636,35718
2301,23,Bezirk Brig,25583,12476,13107
1904,19,Bezirk Brugg,47487,23858,23629
1103,11,Bezirk Bucheggberg,7560,3741,3819
103,1,Bezirk Bülach,135985,68372,67613
104,1,Bezirk Dielsdorf,82657,41652,41005
111,1,Bezirk Dietikon,83770,42263,41507
1104,11,Bezirk Dorneck,19789,9637,10152
501,5,Bezirk Einsiedeln,14632,7398,7234
2012,20,Bezirk Frauenfeld,63296,31583,31713
1101,11,Bezirk Gäu,19054,9613,9441
502,5,Bezirk Gersau,2118,1110,1008
2304,23,Bezirk Goms,4629,2371,2258
1105,11,Bezirk Gösgen,23433,11606,11827
1501,15,Bezirk Hinterland,23540,11899,11641
1823,18,Bezirk Hinterrhein,13003,6468,6535
105,1,Bezirk Hinwil,90740,45177,45563
503,5,Bezirk Höfe,27754,14773,12981
106,1,Bezirk Horgen,118718,58131,60587
1824,18,Bezirk Imboden,19181,9632,9549
1825,18,Bezirk Inn,9574,4753,4821
2013,20,Bezirk Kreuzlingen,44220,22105,22115
1905,19,Bezirk Kulm,38405,19142,19263
504,5,Bezirk Küssnacht (SZ),12401,6352,6049
1826,18,Bezirk Landquart,24517,12239,12278
1302,13,Bezirk Laufen,19057,9553,9504
1906,19,Bezirk Laufenburg,30102,15386,14716
1107,11,Bezirk Lebern,43766,21630,22136
1907,19,Bezirk Lenzburg,55244,27701,27543
2306,23,Bezirk Leuk,12320,6139,6181
1303,13,Bezirk Liestal,57547,28415,29132
1827,18,Bezirk Maloja / Distretto di Maloggia,18733,9324,9409
505,5,Bezirk March,40221,20440,19781
107,1,Bezirk Meilen,98090,47201,50889
1502,15,Bezirk Mittelland,16560,8229,8331
2014,20,Bezirk Münchwilen,43614,22104,21510
1908,19,Bezirk Muri,33276,16825,16451
1401,14,Bezirk Oberklettgau,4379,2202,2177
1108,11,Bezirk Olten,52052,25802,26250
108,1,Bezirk Pfäffikon,57336,28506,28830
1829,18,Bezirk Plessur,40293,19634,20659
1830,18,Bezirk Prättigau-Davos,26236,13088,13148
2309,23,Bezirk Raron,10826,5410,5416
1402,14,Bezirk Reiat,8267,4130,4137
1909,19,Bezirk Rheinfelden,45012,22448,22564
